area,name,address,speciality,phone,website,hours,maps_url,angle
Knightsbridge London,West London Physiotherapy,"23, Ansdell Street, London",,,https://www.westlondonphysio.co.uk/,,"https://www.google.com/maps/search/?api=1&query=51.4994356,-0.1886777",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Knightsbridge London,Bayswater Medical Centre,"46, Craven Road, London",,+44 20 3441 3002,,,"https://www.google.com/maps/search/?api=1&query=51.5135553,-0.1795448",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Harley Street London,London Claremont Clinic,"50, New Cavendish Street, London",,,,,"https://www.google.com/maps/search/?api=1&query=51.5188702,-0.1491129",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Harley Street London,Fitzrovia Medical Clinic,"13-14, Fitzroy Square, London",,,,,"https://www.google.com/maps/search/?api=1&query=51.5234491,-0.1403064",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Harley Street London,Hoil Dental,"43, London",,,,,"https://www.google.com/maps/search/?api=1&query=51.5281189,-0.143462",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Harley Street London,Covent Garden Medical Centre,"47, Short's Gardens, London",,,,,"https://www.google.com/maps/search/?api=1&query=51.5150982,-0.1247294",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Harley Street London,Sommers Town Medical Centre,"77-83, Chalton Street, London",,,,,"https://www.google.com/maps/search/?api=1&query=51.5300647,-0.1307643",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Chelsea London,Belgrave Medical Centre,,,,,Mo 08:00-20:00; Tu-Th 08:00-19:00; Fr 08:00-18:30; Sa 09:00-14:00,"https://www.google.com/maps/search/?api=1&query=51.4907384,-0.1510942",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Chelsea London,51 Sloane Street Clinic,"51, Sloane Street",,,,,"https://www.google.com/maps/search/?api=1&query=51.4982486,-0.1595228",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Knightsbridge London,Lancaster Gate Medical Centre,"20-21, Leinster Terrace, London",,,,Mo-Fr 08:00-18:30,"https://www.google.com/maps/search/?api=1&query=51.5114575,-0.1832434",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Manchester Spinningfields,Pall Mall Medical,"61A, King Street, Manchester",,,,,"https://www.google.com/maps/search/?api=1&query=53.4810843,-2.243286",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Manchester Spinningfields,The Arch Medical Practice,,general,,,,"https://www.google.com/maps/search/?api=1&query=53.4677244,-2.2496456",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Manchester Spinningfields,Cornbrook Medical Practice,"204, City Road, Manchester",,,,,"https://www.google.com/maps/search/?api=1&query=53.4683831,-2.2594832",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Birmingham Edgbaston,Karis Medical Centre,,,,,,"https://www.google.com/maps/search/?api=1&query=52.4743087,-1.9308394",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Birmingham Edgbaston,Dr Ashok Ayurvedic Clinic & Panchakarma centre,"9, Portland Road, Birmingham",,,,,"https://www.google.com/maps/search/?api=1&query=52.4728817,-1.9378988",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Birmingham Edgbaston,Bellevue Medical Centre,,,,,,"https://www.google.com/maps/search/?api=1&query=52.4652004,-1.9015169",Lead with no-show/admin follow-up audit; mention premium client journey automation.
